clip_idx,tier,gt,all4_mean,selected3_mean,strict_all4_80adqa_20clip,clip_mean_norm,claude_vlm_completeness_norm,claude_vlm_specificity_norm,vlm_best_dims_mean,mean_need,max_need,need_entropy,high_need_frac,high_need_seconds_frac,extended_seconds_frac,mean_speech_density,mean_standard_slot_score,mean_extended_need_score,tribe_pressure,tribe_policy_loocv,selected_policy
0,tier0_cross,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3883963677748515,0.5841811642054016,0.951470683703556,0.6,0.6000000000000001,0.6000000000000001,1.0,0.0,0.3883963677748515,0.6214341884397624,0.0,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
0,tier1_vatex_short,1,0.2380952380952381,0.3174603174603175,0.3904761904761905,1.0,0.5714285714285714,0.4666666666666667,0.5682539682539683,0.3883963677748515,0.5841811642054016,0.951470683703556,0.6,0.6000000000000001,0.6000000000000001,1.0,0.0,0.3883963677748515,0.6214341884397624,0.5714285714285714,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
0,tier2_vatex_long,2,0.3154761904761904,0.4206349206349206,0.379449636041141,0.6353434183009434,0.9285714285714286,0.8,0.8354497354497354,0.3883963677748515,0.5841811642054016,0.951470683703556,0.6,0.6000000000000001,0.6000000000000001,1.0,0.0,0.3883963677748515,0.6214341884397624,0.9285714285714286,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
0,tier3_va11y,3,0.5,0.6666666666666666,0.5708977903559521,0.8544889517797603,1.0,1.0,1.0,0.3883963677748515,0.5841811642054016,0.951470683703556,0.6,0.6000000000000001,0.6000000000000001,1.0,0.0,0.3883963677748515,0.6214341884397624,1.0,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
1,tier0_cross,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472245020802409,0.8527670466409736,0.812201389019194,0.3333333333333333,0.3636363636363636,0.3636363636363636,1.0,0.0,0.3472245020802409,0.4734879573821467,0.0,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
1,tier1_vatex_short,1,0.1027777777777777,0.1037037037037037,0.2232519760194564,0.7051487689861711,0.3333333333333333,0.2941176470588235,0.3572984749455337,0.3472245020802409,0.8527670466409736,0.812201389019194,0.3333333333333333,0.3636363636363636,0.3636363636363636,1.0,0.0,0.3472245020802409,0.4734879573821467,0.3333333333333333,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
1,tier2_vatex_long,2,0.5638888888888889,0.5518518518518518,0.617856914522554,0.8337290170572141,0.5555555555555556,0.7058823529411765,0.6797385620915034,0.3472245020802409,0.8527670466409736,0.812201389019194,0.3333333333333333,0.3636363636363636,0.3636363636363636,1.0,0.0,0.3472245020802409,0.4734879573821467,0.5555555555555556,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
1,tier3_va11y,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3472245020802409,0.8527670466409736,0.812201389019194,0.3333333333333333,0.3636363636363636,0.3636363636363636,1.0,0.0,0.3472245020802409,0.4734879573821467,1.0,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
3,tier0_cross,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3732172811284784,0.710663123229123,0.8629360990356767,0.1666666666666666,0.1818181818181818,0.1818181818181818,0.8181818181818181,0.1174465648562957,0.2557707162721827,0.4410749686063837,0.0,soft:mean_speech_density:claude_vlm_specificity_norm:all4_mean
3,tier1_vatex_short,1,0.6166666666666667,0.6,0.669825655498338,0.8824616108250226,0.8235294117647058,0.7647058823529411,0.7925696594427244,0.3732172811284784,0.710663123229123,0.8629360990356767,0.1666666666666666,0.1818181818181818,0.1818181818181818,0.8181818181818181,0.1174465648562957,0.2557707162721827,0.4410749686063837,0.7258268964151317,soft:mean_speech_density:claude_vlm_specificity_norm:all4_mean
3,tier2_vatex_long,2,0.85,0.7999999999999999,0.8701717913394734,0.9508589566973668,0.7058823529411765,0.5882352941176471,0.7120743034055729,0.3732172811284784,0.710663123229123,0.8629360990356767,0.1666666666666666,0.1818181818181818,0.1818181818181818,0.8181818181818181,0.1174465648562957,0.2557707162721827,0.4410749686063837,0.6569815805109923,soft:mean_speech_density:claude_vlm_specificity_norm:all4_mean
3,tier3_va11y,3,0.9166666666666669,1.0,0.9333333333333332,1.0,1.0,1.0,1.0,0.3732172811284784,0.710663123229123,0.8629360990356767,0.1666666666666666,0.1818181818181818,0.1818181818181818,0.8181818181818181,0.1174465648562957,0.2557707162721827,0.4410749686063837,0.9781144781144782,soft:mean_speech_density:claude_vlm_specificity_norm:all4_mean
4,tier0_cross,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1987337515089805,0.5713254998961601,0.7078768016082808,0.2857142857142857,0.3076923076923076,0.3076923076923076,0.3076923076923077,0.1237965014793331,0.0749372500296473,0.2598825981271284,0.0,gate:mean_standard_slot_score>=0.117:selected3_mean:claude_vlm_completeness_norm
4,tier1_vatex_short,1,0.4166666666666667,0.3472222222222222,0.5027977495120755,0.8473220808937105,0.4705882352941176,0.4375,0.5772058823529411,0.1987337515089805,0.5713254998961601,0.7078768016082808,0.2857142857142857,0.3076923076923076,0.3076923076923076,0.3076923076923077,0.1237965014793331,0.0749372500296473,0.2598825981271284,0.3472222222222222,gate:mean_standard_slot_score>=0.117:selected3_mean:claude_vlm_completeness_norm
4,tier2_vatex_long,2,0.4791666666666667,0.4305555555555556,0.5833333333333334,1.0,0.7058823529411765,0.625,0.6789215686274511,0.1987337515089805,0.5713254998961601,0.7078768016082808,0.2857142857142857,0.3076923076923076,0.3076923076923076,0.3076923076923077,0.1237965014793331,0.0749372500296473,0.2598825981271284,0.4305555555555556,gate:mean_standard_slot_score>=0.117:selected3_mean:claude_vlm_completeness_norm
4,tier3_va11y,3,1.0,1.0,0.9725160319113966,0.8625801595569829,1.0,1.0,1.0,0.1987337515089805,0.5713254998961601,0.7078768016082808,0.2857142857142857,0.3076923076923076,0.3076923076923076,0.3076923076923077,0.1237965014793331,0.0749372500296473,0.2598825981271284,1.0,gate:mean_standard_slot_score>=0.117:selected3_mean:claude_vlm_completeness_norm
5,tier0_cross,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6596447063981404,0.8559741095030897,0.8948127586578454,0.8333333333333334,0.9090909090909092,0.9090909090909092,1.0,0.0,0.6596447063981403,1.2593217122146318,0.0,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
5,tier1_vatex_short,1,0.3343253968253968,0.3624338624338624,0.4286877836048002,0.8061373307224139,0.2105263157894736,0.3333333333333333,0.2553606237816764,0.6596447063981404,0.8559741095030897,0.8948127586578454,0.8333333333333334,0.9090909090909092,0.9090909090909092,1.0,0.0,0.6596447063981403,1.2593217122146318,0.2105263157894736,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
5,tier2_vatex_long,2,0.8660714285714286,0.8630952380952381,0.8674602861189944,0.8730157163092572,0.8947368421052632,0.9444444444444444,0.9463937621832358,0.6596447063981404,0.8559741095030897,0.8948127586578454,0.8333333333333334,0.9090909090909092,0.9090909090909092,1.0,0.0,0.6596447063981403,1.2593217122146318,0.8947368421052632,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
5,tier3_va11y,3,1.0,1.0,1.0,1.0,1.0,1.0,0.9629629629629628,0.6596447063981404,0.8559741095030897,0.8948127586578454,0.8333333333333334,0.9090909090909092,0.9090909090909092,1.0,0.0,0.6596447063981403,1.2593217122146318,1.0,soft:mean_standard_slot_score:selected3_mean:claude_vlm_completeness_norm
6,tier0_cross,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3976061903273661,0.7646262287500899,0.8855295589780069,0.5,0.5,0.5,1.0,0.0,0.3976061903273661,0.5964092854910492,0.0,soft:mean_standard_slot_score:selected3_mean:claude_vlm_specificity_norm
6,tier1_vatex_short,1,0.4107142857142857,0.3809523809523809,0.5285714285714286,1.0,0.3125,0.2,0.3613095238095238,0.3976061903273661,0.7646262287500899,0.8855295589780069,0.5,0.5,0.5,1.0,0.0,0.3976061903273661,0.5964092854910492,0.2,soft:mean_standard_slot_score:selected3_mean:claude_vlm_specificity_norm
6,tier2_vatex_long,2,0.567857142857143,0.5904761904761905,0.6341702624200609,0.8994227406717322,0.75,0.6666666666666666,0.7579365079365079,0.3976061903273661,0.7646262287500899,0.8855295589780069,0.5,0.5,0.5,1.0,0.0,0.3976061903273661,0.5964092854910492,0.6666666666666666,soft:mean_standard_slot_score:selected3_mean:claude_vlm_specificity_norm
