metric,spearman_rho,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,pairwise_wins,pairwise_total,full_order_clips,full_order_total,rows,clips,adqa_source,adqa_metric
adqa_tribe_claude_adqa_ensemble_fixed50_clip_mean,0.9353926131306646,2.5280293631066567e-33,0.9231548885227479,8.883687579104493e-31,0.8456102471360234,5.2304386241855595e-20,54,54,15,18,72,18,adqa_tribe_claude,adqa_tribe_claude_adqa
adqa_tribe_claude_adqa_ensemble_fixed50_need_weighted_clip,0.9341848757347565,4.735444298208794e-33,0.9220272264874967,1.4508660604863506e-30,0.8437331988626915,6.313411420998245e-20,54,54,15,18,72,18,adqa_tribe_claude,adqa_tribe_claude_adqa
adqa_tribe_claude_adqa_ensemble_adaptive_need_critical_weighted_clip,0.9335733472934694,6.47757921966475e-33,0.9082294334028679,3.4281755655478437e-28,0.8426143399267586,6.940971045066459e-20,54,54,14,18,72,18,adqa_tribe_claude,adqa_tribe_claude_adqa
adqa_tribe_claude_adqa_ensemble_fixed50_critical_weighted_clip,0.9329771383388488,8.766266809384243e-33,0.9209426284703106,2.309514135348051e-30,0.8418561505893596,7.617501783009053e-20,54,54,14,18,72,18,adqa_tribe_claude,adqa_tribe_claude_adqa
adqa_tribe_claude_adqa_ensemble_adaptive_need_need_weighted_clip,0.9323656198066733,1.1921751196318868e-32,0.9092109953163429,2.3931545907070113e-28,0.8407376932899506,8.372947581061742e-20,54,54,14,18,72,18,adqa_tribe_claude,adqa_tribe_claude_adqa
adqa_tribe_claude_adqa_ensemble_fixed50_clip_top3,0.9317694009429408,1.604452384477214e-32,0.9235739018682652,7.389320311811897e-31,0.8399791023160277,9.187207759703737e-20,54,54,13,18,72,18,adqa_tribe_claude,adqa_tribe_claude_adqa
adqa_tribe_claude_adqa_ensemble_adaptive_need_clip_mean,0.9317617560632752,1.6105460531270078e-32,0.9097443607691398,1.9652080187455678e-28,0.8397993699715468,9.194770250975769e-20,54,54,13,18,72,18,adqa_tribe_claude,adqa_tribe_claude_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_uniform_adqa_ensemble_fixed50_critical_weighted_clip,0.9295862097133841,4.5553659447895835e-25,0.9092019037924134,3.3460514363811397e-22,0.8357491093193475,1.4944652564506027e-15,42,42,10,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_uniform_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_high_need_adqa_ensemble_fixed50_critical_weighted_clip,0.9295862097133841,4.5553659447895835e-25,0.9092019037924134,3.3460514363811397e-22,0.8357491093193475,1.4944652564506027e-15,42,42,10,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_high_need_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_need_weighted_adqa_ensemble_fixed50_critical_weighted_clip,0.9285887996171251,6.574159095238165e-25,0.9077482520652869,5.04090817369558e-22,0.8342014257835709,1.6842300867671631e-15,42,42,9,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_need_weighted_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_uniform_adqa_ensemble_fixed50_need_weighted_clip,0.9275913895208662,9.437712067804918e-25,0.9072987623368821,5.714085013985444e-22,0.8326537422477943,1.89768274338402e-15,42,42,10,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_uniform_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_high_need_adqa_ensemble_fixed50_need_weighted_clip,0.9275913895208662,9.437712067804918e-25,0.9072987623368821,5.714085013985444e-22,0.8326537422477943,1.89768274338402e-15,42,42,10,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_high_need_adqa
adqa_tribe_claude_adqa_ensemble_adaptive_need_clip_top3,0.9275347098594885,1.2279037763560026e-31,0.9098188079457263,1.9117169431663845e-28,0.8332311067427189,1.765777969531136e-19,54,54,13,18,72,18,adqa_tribe_claude,adqa_tribe_claude_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_uniform_adqa_ensemble_adaptive_need_critical_weighted_clip,0.9265778483350728,1.3556606513769592e-24,0.9000348487739973,3.9824294781954896e-21,0.8323607090723469,1.900219915251446e-15,42,42,10,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_uniform_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_high_need_adqa_ensemble_adaptive_need_critical_weighted_clip,0.9265778483350728,1.3556606513769592e-24,0.9000348487739973,3.9824294781954896e-21,0.8323607090723469,1.900219915251446e-15,42,42,10,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_high_need_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_need_weighted_adqa_ensemble_fixed50_need_weighted_clip,0.9255965693283482,1.9155624757867605e-24,0.9058343661511457,8.55850994023883e-22,0.8295583751762411,2.40761903209583e-15,42,42,9,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_need_weighted_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_uniform_adqa_ensemble_adaptive_need_need_weighted_clip,0.9225882774057506,5.3714345401289875e-24,0.8976644879671285,7.267834772752988e-21,0.82617215361456,3.0559773143185213e-15,42,42,10,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_uniform_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_high_need_adqa_ensemble_adaptive_need_need_weighted_clip,0.9225882774057506,5.3714345401289875e-24,0.8976644879671285,7.267834772752988e-21,0.82617215361456,3.0559773143185213e-15,42,42,10,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_high_need_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_need_weighted_adqa_ensemble_adaptive_need_critical_weighted_clip,0.9225882774057506,5.3714345401289875e-24,0.89832048243293,6.1623493875039806e-21,0.82617215361456,3.0559773143185213e-15,42,42,9,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_need_weighted_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_need_weighted_adqa_ensemble_adaptive_need_need_weighted_clip,0.9205934919410895,1.0402834096131123e-23,0.8959382386883818,1.1160477782073133e-20,0.8230778758856665,3.8704631377731526e-15,42,42,9,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_need_weighted_adqa
adqa_tribe_claude_timed_adqa_tribe_claude_uniform_adqa_ensemble_fixed50_clip_mean,0.9196121087507942,1.4309845025897135e-23,0.9047832053201809,1.1391527580361672e-21,0.8233676410331349,3.865408165590839e-15,42,42,10,14,56,14,adqa_tribe_claude_timed,adqa_tribe_claude_uniform_adqa
