scorer,outcome,feature,spearman_rho,p,n
vlm_best_dims_mean,tier2_vs_tier1,mean_speech_density,0.5528787640476946,0.017325573520849073,18
vlm_best_dims_mean,tier2_vs_tier1,mean_standard_slot_score,-0.5506128674737286,0.017886468017427697,18
claude_vlm_specificity_norm,tier2_vs_tier1,mean_standard_slot_score,-0.5426822294648478,0.01996334840814265,18
vlm_best_dims_mean,tier3_margin,mean_extended_need_score,-0.5335397316821465,0.022588029798321373,18
vlm_best_dims_mean,spread,mean_need,-0.5139940529625884,0.029102926012020157,18
claude_vlm_specificity_norm,tier2_vs_tier1,mean_speech_density,0.5064278842813924,0.03198353647489606,18
vlm_best_dims_mean,spread,mean_extended_need_score,-0.4818694246524266,0.042870774952963146,18
vlm_best_dims_mean,spread,tribe_pressure,-0.4818694246524266,0.042870774952963146,18
claude_vlm_specificity_norm,tier3_margin,mean_extended_need_score,-0.47776730935305683,0.04493513187890342,18
vlm_best_dims_mean,tier3_margin,mean_speech_density,-0.476971228819835,0.04534435876433475,18
vlm_best_dims_mean,spread,max_need,-0.4705313205429577,0.048759734831097794,18
claude_vlm_specificity_norm,tier3_margin,mean_speech_density,-0.46774110250599754,0.05029852333832753,18
vlm_best_dims_mean,spread,extended_seconds_frac,-0.4656022164523648,0.05150273451386485,18
claude_vlm_completeness_norm,tier3_margin,mean_extended_need_score,-0.45788168725673023,0.05603105949351402,18
selected3_mean,tier3_margin,need_entropy,-0.4406604747162023,0.06720191241367013,18
claude_vlm_completeness_norm,tier2_vs_tier1,mean_extended_need_score,0.4390498210557777,0.06832536917198916,18
vlm_best_dims_mean,tier3_margin,mean_standard_slot_score,0.42712150419258377,0.07708333892431855,18
claude_vlm_specificity_norm,tier3_margin,mean_standard_slot_score,0.42687052073362886,0.07727605882286429,18
vlm_best_dims_mean,tier2_vs_tier1,mean_extended_need_score,0.4262125902992776,0.07778293683965698,18
claude_vlm_completeness_norm,tier2_vs_tier1,mean_standard_slot_score,-0.42529473497885517,0.07849413785680966,18
strict_all4_80adqa_20clip,spread,max_need,0.4248556076186178,0.07883607876470654,18
claude_vlm_completeness_norm,tier2_vs_tier1,mean_speech_density,0.4230264963923012,0.08027214001073316,18
claude_vlm_specificity_norm,tier2_vs_tier1,mean_extended_need_score,0.41589267285861714,0.08605648033750418,18
vlm_best_dims_mean,spread,high_need_seconds_frac,-0.41534372872940084,0.0865138281599258,18
all4_mean,tier3_margin,need_entropy,-0.40144478844169246,0.09869191321215517,18
strict_all4_80adqa_20clip,tier3_margin,need_entropy,-0.40144478844169246,0.09869191321215517,18
vlm_best_dims_mean,spread,high_need_frac,-0.3987800469240447,0.1011608268639706,18
clip_mean_norm,tier3_margin,max_need,0.38906088751289986,0.11054194705770316,18
selected3_mean,tier3_margin,high_need_seconds_frac,-0.38218790735970815,0.11753932733787792,18
clip_mean_norm,tier3_margin,mean_need,0.36429308565531476,0.1372167161243323,18
selected3_mean,tier3_margin,mean_need,-0.3560371517027864,0.14702554764788864,18
strict_all4_80adqa_20clip,spread,mean_speech_density,0.35385572139303473,0.1496960089539739,18
strict_all4_80adqa_20clip,spread,mean_standard_slot_score,-0.35136815920398007,0.15278174745859777,18
selected3_mean,tier3_margin,high_need_frac,-0.3513606533187929,0.1527911237972406,18
selected3_mean,tier3_margin,tribe_pressure,-0.3498452012383901,0.1546923218138582,18
claude_vlm_completeness_norm,tier3_margin,mean_speech_density,-0.3160156654774052,0.20141485598618106,18
all4_mean,tier3_margin,high_need_seconds_frac,-0.306578917556839,0.21594195256667464,18
strict_all4_80adqa_20clip,tier3_margin,high_need_seconds_frac,-0.3024359592114763,0.22252919422503498,18
clip_mean_norm,tier3_margin,high_need_frac,0.30042375387316905,0.22577488112352395,18
clip_mean_norm,tier3_margin,high_need_seconds_frac,0.300364480038795,0.22587094956910111,18
all4_mean,tier3_margin,tribe_pressure,-0.2961816305469556,0.23271685741068457,18
all4_mean,tier3_margin,mean_need,-0.28998968008255926,0.24309228603904504,18
clip_mean_norm,tier3_margin,tribe_pressure,0.28586171310629516,0.25016959354548063,18
all4_mean,tier3_margin,high_need_frac,-0.28171223979110316,0.2574132538214523,18
strict_all4_80adqa_20clip,tier3_margin,tribe_pressure,-0.2776057791537668,0.26470972815378374,18
strict_all4_80adqa_20clip,spread,mean_extended_need_score,0.27417348544988135,0.27090596663680816,18
strict_all4_80adqa_20clip,tier3_margin,high_need_frac,-0.273396011310185,0.2723218726214911,18
selected3_mean,tier3_margin,mean_extended_need_score,-0.2672858617131063,0.28360817850986736,18
strict_all4_80adqa_20clip,tier3_margin,mean_need,-0.2652218782249742,0.2874842429174512,18
claude_vlm_completeness_norm,tier3_margin,mean_need,-0.2625326152668386,0.2925826866280554,18
claude_vlm_completeness_norm,tier3_margin,mean_standard_slot_score,0.2604150636519372,0.29663554459772473,18
selected3_mean,spread,high_need_seconds_frac,-0.25982689879419135,0.29776723684700157,18
claude_vlm_completeness_norm,tier2_vs_tier1,extended_seconds_frac,0.25868412456540746,0.2999734883193166,18
selected3_mean,tier3_margin,extended_seconds_frac,-0.25686341741248675,0.3035088217996199,18
all4_mean,tier3_margin,mean_extended_need_score,-0.2549019607843137,0.307345280412546,18
vlm_best_dims_mean,tier3_margin,extended_seconds_frac,-0.2547919382398054,0.30756133026983096,18
claude_vlm_completeness_norm,tier2_vs_tier1,mean_need,0.2510331918036564,0.3149967641860536,18
