kind,metric,rho,tau,wins,full,rule
gate,high:claude_vlm_completeness_norm|low:strict_all4_80adqa_20clip,0.9666651439597499,0.8976565192576585,54/54,17/18,mean_speech_density>=0.874
gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.965578125693569,0.8923454758021687,54/54,17/18,mean_speech_density>=0.874
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9652796654195716,0.8994676714611063,53/54,16/18,mean_speech_density>=1.000
soft_gate,high:claude_vlm_specificity_norm|low:all4_mean,0.9650565111066991,0.8962127925235014,54/54,17/18,weight=mean_speech_density
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9650083546664261,0.8995872198704865,53/54,16/18,mean_speech_density>=0.874
soft_gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9648007422832512,0.8972560680966926,54/54,16/18,weight=mean_speech_density
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9646905421610402,0.9001933270806391,54/54,17/18,high_need_seconds_frac>=0.727
soft_gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9644739272106068,0.8961916721543689,54/54,17/18,weight=extended_seconds_frac
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9643708889342578,0.8993144373599906,54/54,17/18,extended_seconds_frac>=0.477
gate,high:vlm_best_dims_mean|low:selected3_mean,0.9641248108505053,0.894208228038293,53/54,16/18,mean_speech_density>=0.874
soft_gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9641248108505053,0.894208228038293,54/54,18/18,weight=extended_seconds_frac
soft_gate,high:claude_vlm_specificity_norm|low:strict_all4_80adqa_20clip,0.9640921967643937,0.8905714630469983,54/54,17/18,weight=mean_speech_density
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9637713377888402,0.897282529287282,52/54,15/18,mean_speech_density>=0.874
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9637556053380194,0.8981579738520972,54/54,17/18,high_need_seconds_frac>=0.550
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9637556053380194,0.8981579738520972,54/54,17/18,tribe_pressure>=0.609
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.963507931168987,0.8988795612410224,54/54,17/18,extended_seconds_frac>=0.628
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.963507931168987,0.8988795612410224,54/54,17/18,extended_seconds_frac>=0.727
gate,high:vlm_best_dims_mean|low:selected3_mean,0.963262276548282,0.8942929609845502,54/54,17/18,extended_seconds_frac>=0.477
gate,high:claude_vlm_completeness_norm|low:all4_mean,0.9631408948366088,0.8957354579006573,54/54,17/18,extended_seconds_frac>=0.477
gate,high:claude_vlm_completeness_norm|low:all4_mean,0.9630150338588148,0.8949951346342476,53/54,16/18,mean_speech_density>=0.874
