clip_idx,video_id,category,va11y_word_count,vatex_long_word_count,duration_s,n_windows,total_need,mean_need,max_need,mean_speech_density,fraction_high_need,n_standard_slots,n_extended_slots,tr_mean_cosine_gap
0,Q76JRCyTnSc_000007_000017,Food & Cooking,40,25,14.9,5,1.9419818388742576,0.38839636777485154,0.5841811642054016,1.0,0.6,0,3,0.18924786448478695
1,058y9xGmmTQ_000206_000216,Food & Cooking,62,19,16.39,6,1.980217495827084,0.330036249304514,0.8527670466409736,1.0,0.3333333333333333,0,2,0.13517700542103156
2,FtBS6OZSGMI_000028_000038,Food & Cooking,26,22,26.82,9,3.9201362657276917,0.43557069619196576,0.8003662052649374,0.1111111111111111,0.4444444444444444,3,1,0.28519519170125324
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,54,19,16.39,6,2.0526950462066313,0.34211584103443854,0.710663123229123,0.8333333333333334,0.16666666666666666,0,1,0.12261733683672814
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,73,17,19.37,7,1.2995926795296913,0.18565609707567018,0.5713254998961601,0.35714285714285715,0.2857142857142857,0,2,0.21430636369265038
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,60,29,16.39,6,3.6280458851897723,0.6046743141982954,0.8559741095030897,1.0,0.8333333333333334,0,5,0.16765325719659974
6,0HEi6q3bGaw_000011_000021,Travel,39,18,17.88,6,2.385637141964197,0.39760619032736616,0.7646262287500899,1.0,0.5,0,3,0.13965142269929245
7,09dQut5GJ68_000049_000059,Travel,41,19,16.39,6,2.5987448206660275,0.43312413677767125,0.939134955406189,1.0,0.5,0,3,0.21676031567833637
8,hOirknJr3os_000001_000011,Travel,56,22,16.39,6,2.118183414051914,0.3530305690086523,0.7014957045919514,1.0,0.3333333333333333,0,2,0.1539023247632113
9,TF4q9y0rJoc_000000_000010,Sports,35,15,16.39,6,3.206936312892883,0.5344893854821472,0.7650085708250683,1.0,0.8333333333333334,0,5,0.16651318831877274
11,z8Q-s8AthrA_000002_000012,Sports,69,33,16.39,6,2.8189875993591467,0.4698312665598578,0.6204962039553747,0.6666666666666666,0.6666666666666666,2,2,0.1479733532125299
12,abaLFY_GI8k_000295_000305,Sports,64,20,23.84,8,4.146077520717316,0.5182596900896645,0.8755344451155387,0.5,0.625,1,4,0.6246181832102593
13,KFcH6BYZWhc_000011_000021,Sports,67,28,14.9,5,1.8788278919310004,0.37576557838620006,0.6344394468570758,1.0,0.4,0,2,0.10100639462471003
14,UDD6YcChywc_000000_000010,Sports,46,27,16.39,6,2.2879593252095587,0.3813265542015931,0.5376238514689752,0.9166666666666666,0.6666666666666666,0,4,0.4106285951354287
15,OGWuj_FtaQc_000010_000020,Pets & Animals,51,22,16.39,6,3.0779330674389196,0.5129888445731533,0.7493147206590085,0.5,0.8333333333333334,1,4,0.12204458496787329
16,kOf-vl-GmVI_000115_000125,Pets & Animals,42,18,16.39,6,1.2297585625129888,0.20495976041883146,0.644815716432821,1.0,0.16666666666666666,0,1,0.074303464456038
17,gjoZic4WjiQ_000012_000022,Pets & Animals,59,26,19.37,7,3.7177518662800217,0.5311074094685745,0.989735822398962,0.9285714285714286,0.7142857142857143,0,5,0.2520445126753587
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,54,26,16.39,6,3.4656259684611967,0.5776043280768661,0.7941592025899242,1.0,0.8333333333333334,0,5,0.19022195989435364
19,qIWQHyOIpEY_000003_000013,Pets & Animals,51,24,20.86,7,2.335369287984439,0.333624183997777,0.5766175841764636,0.5714285714285714,0.42857142857142855,1,2,0.16818109580448692
20,NMIAhI8oF9s_000001_000011,Pets & Animals,44,21,17.88,6,2.166181061046964,0.3610301768411606,0.637072885504075,1.0,0.3333333333333333,0,2,0.1728486170371373
