clip_idx,roi,n_vertices,av_signature_norm,av_a_residual_norm_per_t,av_a_cosine,av_a_gap_cos
0,auditory_control,590,2.3598761558532715,1.5076749324798584,0.9719107151031494,0.028089284896850586
0,body_eba_region,242,3.250354766845703,1.4079135656356812,0.9745623469352722,0.025437653064727783
0,early_visual_v1,523,2.09334659576416,2.6810383796691895,0.7513326406478882,0.24866735935211182
0,face_ffc,264,3.9588446617126465,1.882001280784607,0.9729456901550293,0.027054309844970703
0,higher_visual_v2v3v4,805,5.043389320373535,3.45317006111145,0.8918317556381226,0.10816824436187744
0,language_control,785,3.559595823287964,2.0033702850341797,0.9259635210037231,0.07403647899627686
0,lateral_object_loc,111,2.4939751625061035,1.049638032913208,0.9896137714385986,0.010386228561401367
0,motion_mt_complex,212,4.217198371887207,1.8937532901763916,0.9853612184524536,0.014638781547546387
0,retrosplenial_pos,594,1.4313238859176636,2.5468740463256836,0.035936255007982254,0.9640637449920177
0,scene_ppa,194,0.7641175389289856,1.480965495109558,0.20665320754051208,0.7933467924594879
1,auditory_control,590,6.966480255126953,2.3697714805603027,0.9954155683517456,0.0045844316482543945
1,body_eba_region,242,4.282388687133789,1.7164185047149658,0.9552540183067322,0.04474598169326782
1,early_visual_v1,523,2.955207109451294,2.364074468612671,0.859978437423706,0.14002156257629395
1,face_ffc,264,5.142918586730957,1.8395878076553345,0.9877809882164001,0.012219011783599854
1,higher_visual_v2v3v4,805,6.868664264678955,2.980053663253784,0.9619553685188293,0.038044631481170654
1,language_control,785,5.759012699127197,1.986439824104309,0.9777364730834961,0.022263526916503906
1,lateral_object_loc,111,3.0179779529571533,1.0084095001220703,0.971099853515625,0.028900146484375
1,motion_mt_complex,212,4.383228302001953,1.6466064453125,0.9785898327827454,0.02141016721725464
1,retrosplenial_pos,594,1.0776331424713135,2.6185572147369385,0.2278929054737091,0.7721070945262909
1,scene_ppa,194,0.713050365447998,1.6106841564178467,0.47844189405441284,0.5215581059455872
